,transaction_id,user_id,transaction_amount,merchant_id,device_id,transaction_time,location
0,1,2000,950.25,321,6110,2023-01-02 09:12:11,Chennai
1,2,2000,870.1,654,6110,2023-01-02 18:20:30,Chennai
2,3,2000,1020.75,478,6110,2023-01-03 07:55:19,Chennai
3,4,2000,980.6,812,6110,2023-01-03 22:10:40,Chennai
4,5,2000,1100.9,233,6110,2023-01-04 11:02:15,Chennai
5,6,2000,5200.0,999,7455,2023-01-04 11:10:17,Delhi
6,7,2000,4800.5,888,7455,2023-01-04 11:12:25,Delhi
7,8,2000,5100.0,715,7455,2023-01-04 11:13:02,Delhi
8,9,2000,4950.75,289,7455,2023-01-04 11:14:50,Delhi
9,10,2000,5300.4,942,7455,2023-01-04 11:16:29,Delhi
