transaction_id,user_id,transaction_amount,merchant_id,device_id,transaction_time,location,is_fraud,fraud_score
1,1000,793.07,533,5501,2023-01-01 02:56:23,Mumbai,0,0.07344870948306055
2,1000,988.64,778,6481,2023-01-01 15:21:28,Mumbai,0,0.07434998920179198
3,1000,931.95,421,5558,2023-01-02 05:27:36,Mumbai,0,0.09831181451858702
4,1000,766.52,434,6182,2023-01-02 07:22:01,Mumbai,0,0.2608033515874543
5,1000,1039.5,686,5478,2023-01-02 11:44:42,Mumbai,0,0.17123143008049538
6,1000,946.32,205,6526,2023-01-02 23:29:46,Mumbai,0,0.14461948469677893
7,1000,857.47,421,5873,2023-01-03 10:54:17,Mumbai,0,0.09892193328838098
8,1000,1071.0,740,6588,2023-01-03 19:10:31,Mumbai,0,0.2890290670924543
9,1000,927.19,460,5185,2023-01-04 17:10:11,Mumbai,0,0.25054194193825735
10,1000,928.95,423,5761,2023-01-04 19:49:02,Mumbai,0,0.2501767262454327
11,1000,817.4,409,6646,2023-01-05 19:00:58,Mumbai,0,0.09948892564900742
12,1000,905.02,922,6244,2023-01-06 00:39:07,Mumbai,0,0.14030821714899824
13,1000,903.59,233,5132,2023-01-06 20:49:38,Mumbai,0,0.2697347704449658
14,1000,1069.51,791,6222,2023-01-07 15:12:36,Mumbai,0,0.21094539228761808
15,1000,1085.86,987,6835,2023-01-07 16:04:36,Mumbai,0,0.13487636548253537
16,1000,788.44,359,5006,2023-01-07 21:50:55,Mumbai,0,0.22837517042644384
17,1000,894.27,487,6226,2023-01-08 05:29:27,Mumbai,0,0.044186596436105105
18,1000,1017.81,508,6504,2023-01-08 08:45:25,Mumbai,0,0.00649089079064773
19,1001,1777.41,368,5244,2023-01-01 15:50:07,Kolkata,0,0.24982398913053017
20,1001,2037.18,736,5124,2023-01-01 16:23:06,Bangalore,0,0.057409759599457696
21,1001,1922.02,860,6055,2023-01-02 15:39:27,Bangalore,0,0.22902041675953666
22,1001,11963.79,856,6206,2023-01-02 17:46:18,Bangalore,1,0.7251251911534319
23,1001,2122.14,962,5966,2023-01-03 13:20:13,Kolkata,0,0.24884548161781983
24,1001,1763.76,725,6994,2023-01-04 02:36:13,Bangalore,0,0.1947118521354197
25,1001,2132.89,710,6954,2023-01-04 05:50:29,Bangalore,0,0.0053253659000499715
26,1001,2011.5,770,6273,2023-01-05 02:32:11,Hyderabad,0,0.10482702117331676
27,1001,20051.67,561,6644,2023-01-05 11:03:07,Delhi,1,0.9052830000903428
28,1001,1750.01,589,5741,2023-01-05 18:14:23,Bangalore,0,0.12557291581396443
29,1001,1884.53,767,5606,2023-01-06 08:03:38,Bangalore,0,0.1349811140833135
30,1001,1860.46,399,5702,2023-01-06 11:09:23,Bangalore,0,0.18406603823980186
31,1001,1691.21,795,6786,2023-01-06 13:51:12,Kolkata,0,0.15628874845263288
32,1001,1951.23,484,6565,2023-01-07 01:51:19,Bangalore,0,0.11665762359466975
33,1001,1965.14,928,5094,2023-01-07 11:25:03,Kolkata,0,0.10924729702110925
34,1001,30345.0,951,6170,2023-01-08 02:57:39,Bangalore,1,0.9168949553654029
35,1001,2117.86,990,6669,2023-01-08 15:26:18,Kolkata,0,0.022886149363711947
36,1001,1918.29,425,6126,2023-01-08 17:07:39,Bangalore,0,0.054724051958412796
37,1001,2095.6,815,5519,2023-01-08 19:20:23,Bangalore,0,0.24596857557435725
38,1001,2052.98,682,6723,2023-01-08 20:12:56,Bangalore,0,0.24770687553859944
39,1002,1702.92,739,6548,2023-01-01 03:42:20,Bangalore,0,0.052467934095546474
40,1002,1405.59,542,5860,2023-01-01 20:34:55,Bangalore,0,0.24000958561831606
41,1002,1666.17,369,6249,2023-01-01 20:45:52,Bangalore,0,0.2882633503519897
42,1002,17831.0,701,7200,2023-01-02 08:22:15,Hyderabad,1,0.8531016315528063
43,1002,1584.61,877,6519,2023-01-02 18:18:05,Bangalore,0,0.10301523359378942
44,1002,1930.83,932,5579,2023-01-03 09:19:35,Bangalore,0,0.24288353704860696
45,1002,1507.88,691,6512,2023-01-03 22:01:42,Bangalore,0,0.005065848445624732
